title,subtitle,price,image,tag,price_range
Sabrina 2,Basketball Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/86dcabca-c6ef-45a4-8fce-94b429428c5a/SABRINA+2.png",Bestseller,affordable
Nike Tiempo Legend 10 Academy,Multi-Ground Low-Top Football Boot,91,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7ddb8c00-2cfd-4337-ac40-72f6e6cd7d68/LEGEND+10+ACADEMY+FG%2FMG.png",Sustainable Materials,cheap
Nike Mercurial Vapor 16 Academy,Multi-Ground Low-Top Football Boot,104,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/63cd555f-8f89-4f88-b36c-ed31ea7cd7a5/ZOOM+VAPOR+16+ACADEMY+FG%2FMG.png",Sustainable Materials,affordable
Nike SB Dunk Low Pro,Skate Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8a78e538-030c-468e-ba92-7de7e4ea465c/NIKE+SB+DUNK+LOW+PRO.png",Available in SNKRS,affordable
Nike Gato,Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ce97ee0d-286f-4802-b891-8132e8303edb/NIKE+GATO.png",Available in SNKRS,affordable
Air Jordan 4 Retro 'White Cement',Men's Shoes,300,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a4b97d0e-0065-4818-90f2-b0778ac48c6b/AIR+JORDAN+4+RETRO.png",Available in SNKRS,expensive
Nike Hypervenom Phantom RGN SE 'Bright Citrus',Firm-Ground Low-Top Football Boot,410,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f110d17f-5db5-4f2f-b60e-818070110130/HYPERVENOM+PHANTOM+RGN+SE+FG.png",Coming Soon,expensive
Nike Shox Ride 2,Men's Shoes,250,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/209621f1-3bbd-4fa9-8493-4c3c52851362/NIKE+SHOX+RIDE+2.png",Available in SNKRS,expensive
Nike SB Dunk Low Pro,Skate Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/59d384f5-81e0-4f6f-b59a-320ec6029ea8/NIKE+SB+DUNK+LOW+PRO.png",Available in SNKRS,affordable
Kobe IX Elite High Protro,Basketball Shoes,330,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e0922bee-8622-4b5e-ad4b-74b6e0cdb836/KOBE+IX+ELITE+HIGH+PROTRO.png",Available in SNKRS,expensive
Nike Mercurial Vapor 16 Elite 'Vini Jr.',FG Low-Top Football Boot,420,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/21fe8b37-9f36-400e-b448-cca6a78fcee2/ZM+VAPOR+16+ELITE+FG+VJR.png",Coming Soon,expensive
Nike Gato,Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/83798e46-9160-42b5-ae1c-08e84b2d6cfc/NIKE+GATO.png",Available in SNKRS,affordable
Nike Air Pegasus Wave,Men's Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ec453a76-7bc2-4a42-8955-f6667f79f9ab/NIKE+AIR+PEGASUS+WAVE.png",Available in SNKRS,expensive
Nike Vapor Pro 3 Premium,Men's Hard Court Tennis Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6c2aa73f-ef82-4f29-809e-4e6cc236509c/M+ZOOM+VAPOR+PRO+3+HC+PRM+RG.png",Just In,affordable
Nike Total 90,Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/061708d1-1c12-48af-aff9-c6cd4c3cddb2/T90.png",Available in SNKRS,affordable
Nike SB Air Zoom Paul Rodriguez Low,Skate Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d566d713-8898-4d38-b5c3-cb85e11df466/PAUL+RODRIGUEZ+ZOOM+AIR+LOW+QS.png",Available in SNKRS,affordable
Nike Phantom GX 2 Elite,Firm-Ground Low-Top Football Boot,340,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/915608e0-8ff7-45bc-9895-a2d2eb6065f7/PHANTOM+GX+II+ELITE+FG.png",Just In,expensive
Nike Phantom GX 2 Elite,Artificial-Grass Low-Top Football Boot,340,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f543cb01-a29e-4afd-8c2e-60a2f031430e/PHANTOM+GX+II+ELITE+AG-PRO.png",Just In,expensive
Nike Phantom Luna 2 Elite,Firm-Ground High-Top Football Boot,360,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5477acb9-3cc1-4312-8a9a-557f1ef5da0b/PHANTOM+LUNA+II+ELITE+FG.png",Just In,expensive
Air Jordan 3 Retro 'Rare Air',Men's Shoes,280,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/84433e74-8a8e-46fd-b2b4-37458b68144b/AIR+JORDAN+3+RETRO+OG.png",Available in SNKRS,expensive
A'One 'OG Pearl',A'ja Wilson Basketball Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/299046e2-b39d-45e1-aa7b-e373ee255ceb/A%27ONE.png",Just In,affordable
Book 1 'Decade',Basketball Shoes,210,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/26642b0e-5ad6-4e1a-9093-4a5672f2a63d/BOOK+1.png",Just In,expensive
Nike Zoom Fly 6 'Jakob Ingebrigtsen',Men's Road Racing Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e1f52333-043c-401c-a3a6-3b270da563b9/ZOOM+FLY+6+JI.png",Just In,expensive
Nike Victory 2 'Jakob Ingebrigtsen',Athletics Distance Spikes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/16f641af-c4b9-4f19-af03-eee4cd89a482/AIR+ZOOM+VICTORY+2+JI.png",Just In,expensive
Nike Dragonfly 2 Elite 'Jakob Ingebrigtsen',Athletics Distance Spikes,280,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c85c1962-d3f9-4e0e-8dc5-6747165cfe6a/ZOOMX+DRAGONFLY+2+ELITE+JI.png",Just In,expensive
Nike Mercurial Vapor 16 Elite x Air Max 95 SE,FG Low-Top Football Boot,420,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/77c2d061-d87a-4c74-a27b-5dd39c4fc797/ZM+VAPOR+16+ELITE+AM+95+SE+FG.png",Just In,expensive
Nike Air Force 1 '07 LX,Men's Shoes,200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b24bd44a-1fcb-4b63-9147-c289e2ff0396/AIR+FORCE+1+%2707+LX.png",Available in SNKRS,expensive
Nike Air Zoom Spiridon SP,Men's Shoes,240,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9743d045-20d4-4a73-b18e-356a5eeebb76/AIR+ZOOM+SPIRIDON+SP.png",Available in SNKRS,expensive
Nike Pegasus Trail 5 GORE-TEX SP,Men's Waterproof Trail-Running Shoes,240,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/32a21407-78a9-4955-9728-4fd79e4b0149/REACTX+PEGASUS+TRAIL+5+GTX+SP.png",Available in SNKRS,expensive
Nike Air Pegasus Wave,Men's Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cd4deee8-d6c8-42d2-8d30-efdd36358820/NIKE+AIR+PEGASUS+WAVE.png",Available in SNKRS,expensive
Nike Air Max Dn8,Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0eae1c6a-4a49-4e6a-91ab-783f57040e83/AIR+MAX+DN8.png",Sustainable Materials,expensive
Nike ACG Rufus,Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ab32517d-34dc-46b4-b20d-a7c95fb0b086/ACG+RUFUS.png",Available in SNKRS,affordable
Nike Air Pegasus Wave,Men's Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2ee32739-5468-4696-a609-d80c00007b7d/NIKE+AIR+PEGASUS+WAVE.png",Available in SNKRS,expensive
Nike SB Dunk Low Pro B,Skate Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f3db2380-6c28-40ca-b9e7-43bbd3d443b4/NIKE+SB+DUNK+LOW+PRO+B.png",Available in SNKRS,affordable
Nike ACG Rufus,Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d5a5aeb0-ca32-4a8c-b16b-aa16124203c4/ACG+RUFUS.png",Available in SNKRS,affordable
Nike Air Force 1 Retro,Men's Shoes,200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/23d3977b-4877-41ed-b8ad-abdc49b3a78b/AIR+FORCE+1+RETRO+QS.png",Available in SNKRS,expensive
Nike Tiempo Legend 10 Elite,Artificial-Grass Low-Top Football Boot,300,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/acf355d1-be10-421d-ac73-cc47a965b4db/LEGEND+10+ELITE+AG+PRO.png",,expensive
Jordan Hydro 5 Retro,Men's Slides,100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0593c4ba-fbb3-45a9-9f7c-f12285ef927a/JORDAN+HYDRO+V+RETRO.png",,expensive
Nike P-6000,Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/06aef9f8-260d-458a-bf7b-78d8217c80cc/NIKE+P-6000.png",,affordable
Jordan Post,Men's Slides,50,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/78506064-1c43-4685-8979-2df4bb26bbe3/JORDAN+POST+SLIDE.png",,cheap
Jumpman MVP,Men's Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/935a9d46-c646-42e9-94b5-b3df850145d7/JORDAN+MVP.png",,expensive
Nike Zoom Vomero 5,Men's shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/67e500fb-53fd-40c5-b587-ea7adda98906/NIKE+ZOOM+VOMERO+5.png",,expensive
Nike Field General,Women's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7a1fc050-2926-4991-be54-647a7817f288/WMNS+NIKE+FIELD+GENERAL.png",,affordable
Nike Vaporfly 4,Men's Road Racing Shoes,360,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/117eaf48-f736-44cf-9619-abf75a7e4320/ZOOMX+VAPORFLY+NEXT%25+4.png",,expensive
Nike Streakfly 2,Road Racing Shoes,250,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/21718055-e47f-44ec-ad80-f91132e65d0d/ZOOMX+STREAKFLY+2.png",,expensive
